N,Time,hits:Mean,hits:StandardDeviation,hits:NormalizedMean,swaps:Mean,swaps:StandardDeviation,swaps:NormalizedMean,compares:Mean,compares:StandardDeviation,compares:NormalizedMean,fixes:Mean,fixes:StandardDeviation,fixes:NormalizedMean
10000,3.1032098,259158.0,366.0,2.8137722335270734,9789.5,91.5,0.10628814576479709,121494.3,70.57485387870102,1.3191076018174561,2.5050961E7,154452.11694373115,271.98735321683915
20000,3.9345603,558088.8,496.66664876957464,2.817637711157027,19522.2,124.16666219239366,0.09856224838188782,263023.2,95.9956249003047,1.3279321986558357,9.98424033E7,327816.90718205797,504.0769868713165
40000,7.7190107,1196788.4,405.81946725114113,2.8235105534545686,39197.1,101.45486681278527,0.09247534945593898,566170.9,161.20015508677406,1.3357327922035938,3.99922131E8,1426117.8832030683,943.512117462486
80000,17.847980200000002,2552391.6,1100.103922363701,2.8259974589418886,78097.9,275.0259805909252,0.08646967297208535,1212049.0,274.1112912668867,1.341975656914502,1.5996871921E9,2707013.6180629553,1771.1670654207155
160000,37.910539899999996,5425242.8,1341.5812163264663,2.829672714692681,156310.7,335.3953040816165,0.08152780236941899,2584173.5,223.80136281980054,1.3478411036243185,2.1063748501E9,6295717.622033685,1098.633122971539
