N,Time,hits:Mean,hits:StandardDeviation,hits:NormalizedMean,swaps:Mean,swaps:StandardDeviation,swaps:NormalizedMean,compares:Mean,compares:StandardDeviation,compares:NormalizedMean,fixes:Mean,fixes:StandardDeviation,fixes:NormalizedMean
10000,136.85341,410545.5,18904.870865731933,4.457441130505287,63211.4,3846.042308659644,0.6863090553344803,161418.3,6340.726473362496,1.7525769242050917,3.05365673E7,4623536.124980188,331.54656686643204
20000,537.66496,881510.2,49668.6998275574,4.45050390240688,137246.1,9902.69055812611,0.6929180214138475,339838.7,11740.442470792997,1.7157526487372252,1.194613025E8,1.920832908147877E7,603.1274430662955
40000,2167.36082,1940986.8,65909.0264710381,4.579252868690917,301192.9,13835.73245946885,0.7105862087028807,751057.1,32072.190066941173,1.771923631693776,4.544275517E8,3.875623142926483E7,1072.1034629057833
80000,10268.29565,4150295.2,193688.57727744296,4.595189738541185,643995.9,37145.85823601334,0.7130296060247944,1603625.5,64034.335569676994,1.7755275436944769,1.0852297205E9,1.3586956049164245E9,1201.5618733822882
160000,34026.81186,8730320.2,285817.7387527933,4.553519496025201,1351508.5,73779.32008937193,0.7049134697022654,3382965.3,79833.53651699265,1.7644711871996108,-1.5038796377E9,4.6056634513772243E8,-784.3864936296685
