N,Time,hits:Mean,hits:StandardDeviation,hits:NormalizedMean,swaps:Mean,swaps:StandardDeviation,swaps:NormalizedMean,compares:Mean,compares:StandardDeviation,compares:NormalizedMean,fixes:Mean,fixes:StandardDeviation,fixes:NormalizedMean
10000,337.19465,967590.2,486.94677327198707,10.505477115091594,124206.9,85.02758375962473,1.348559282107725,235381.3,89.04611165008836,2.555619993330347,7.55597971E7,202022.92146707018,820.3800733564832
20000,1445.33575,2094862.6,693.553199113089,10.576388312133227,268364.8,118.78956183099592,1.3549004761018555,510701.7,138.1622596804207,2.5783932038629023,3.023044454E8,812768.1117186132,1526.2524630658245
40000,6540.1447800000005,4509677.2,900.5279340475785,10.639408910441855,576721.5,152.64091849828472,1.3606241852395538,1101395.6,165.0679859936505,2.5984560847418203,1.2100105023E9,1098772.8100895153,2854.704660435307
80000,15120.327809999999,9660326.4,1683.302896094461,10.69587357165305,1233610.8,255.9475727566097,1.3658487929999732,2362941.6,340.38748508134074,2.6162391998265786,5.483885564E8,4650746.498235981,607.1735492701083
160000,54840.795880000005,2.06003088E7,1567.681396202685,10.744612522337901,2627100.5,275.6988393156562,1.3702307671106444,5045953.4,263.15858336752007,2.6318447269476613,-2.0997079995E9,1.2237313025869276E7,-1095.15585827921
